CodigoCliente,Titulo,PrimeiroNome,UltimoNome,Idade,Sexo,Endereco,Cidade,UF,UFCompleto,CEP,Pais,PaisCompleto,Email,RendaMensal,PercentualUtilizacaoLimite,QtdTransacoesNegadas,AnosDeRelacionamentoBanco,JaUsouChequeEspecial,QtdEmprestimos,NumeroAtendimentos,TMA,IndiceSatisfacao,Saldo,CLTV,CanalPref,Churn
64,Sr.,Kauê,Cunha,39,Masculino,Rua João Roma 1986,Recife,PE,Pernambuco,52121-410,BR,Brazil,KaueCostaCunha@jourrapide.com,9401,0.09,14,4,0,4,3,4,5,5462,80,Push,1
65,Sr.,Davi,Souza,52,Masculino,Avenida Cândido Garcia de Lima 1323,Campo Grande,MS,Mato Grosso do Sul,79017-120,BR,Brazil,DaviCavalcantiSouza@gustr.com,4975,0.13,4,17,0,2,3,1,4,2681,37,Ligacao,1
66,Sra.,Lara,Martins,27,Feminino,Rua Vitória Colonna 1534,São Paulo,SP,São Paulo,03737-120,BR,Brazil,LaraMeloMartins@teleworm.us,8895,1,0,15,0,3,25,192,0,8393,66,Push,1
67,Sr.,Vitór,Oliveira,53,Masculino,Rua Cuim 788,São Paulo,SP,São Paulo,08223-280,BR,Brazil,VitorCorreiaOliveira@superrito.com,4035,1,0,12,0,5,37,86,3,2664,37,Push,1
68,Sr.,Arthur,Sousa,43,Masculino,Viela Três 1705,São Paulo,SP,São Paulo,08321-080,BR,Brazil,ArthurAlvesSousa@superrito.com,7236,0.28,7,16,0,4,2,5,4,3988,38,Push,1
69,Sra.,Amanda,Ribeiro,34,Feminino,Rua C 133 377,Goiânia,GO,Goiás,74255-210,BR,Brazil,AmandaAzevedoRibeiro@dayrep.com,9897,0.27,7,5,1,2,2,5,4,4678,45,Push,1
70,Sra.,Nicole,Almeida,58,Feminino,Rua Raimundo Bastos da Silva 1797,Natal,RN,Rio Grande do Norte,59064-610,BR,Brazil,NicoleCunhaAlmeida@teleworm.us,7894,0.45,10,0,0,3,1,1,5,5583,48,Ligacao,1
71,Sra.,Ágatha,Pereira,53,Feminino,Rua Henrique Demathe 70,Jaraguá do Sul,SC,Santa Catarina,89265-730,BR,Brazil,AgathaSilvaPereira@cuvox.de,7108,1,10,19,0,2,22,158,2,1446,55,Email,1
72,Sr.,João,Ferreira,49,Masculino,Rua Margarida de Andrade 40,Rio de Janeiro,RJ,Rio de Janeiro,20751-140,BR,Brazil,JoaoCastroFerreira@fleckens.hu,6330,0.96,0,10,0,4,22,81,3,7017,63,SMS,1
73,Sr.,Eduardo,Barbosa,53,Masculino,Travessa Santa Amália 1398,Maceió,AL,Alagoas,57035-730,BR,Brazil,EduardoFerreiraBarbosa@teleworm.us,8188,0.96,12,15,1,0,28,59,1,2515,64,Ligacao,1
74,Sra.,Ágatha,Barros,41,Feminino,Rua Aneci Correa 1762,Novo Hamburgo,RS,Rio Grande do Sul,93530-591,BR,Brazil,AgathaPintoBarros@armyspy.com,4189,0.29,6,14,0,4,2,6,5,255,71,Email,1
75,Sra.,Raissa,Fernandes,49,Feminino,Rua Imbire 1177,São Paulo,SP,São Paulo,04950-080,BR,Brazil,RaissaFerreiraFernandes@einrot.com,4643,0.46,8,17,0,4,3,3,5,3914,72,Ligacao,1
76,Sr.,Ryan,Araujo,35,Masculino,Rua Rio do Quilombo 1923,São Carlos,SP,São Paulo,13565-150,BR,Brazil,RyanSilvaAraujo@rhyta.com,8569,0.95,9,20,1,0,47,53,0,5095,34,Push,1
77,Sr.,Pedro,Melo,20,Masculino,Rua Nossa Senhora do Amparo 1916,Belo Horizonte,MG,Minas Gerais,31870-140,BR,Brazil,PedroCostaMelo@dayrep.com,6710,0.35,15,5,1,3,2,0,4,2001,69,Ligacao,0
78,Sra.,Isabella,Lima,19,Feminino,Rua Iraci Marcelino Vieira 545,Uberlândia,MG,Minas Gerais,38410-116,BR,Brazil,IsabellaCarvalhoLima@teleworm.us,8795,0.93,13,15,1,4,44,176,2,8230,34,Ligacao,1
79,Sr.,Kauê,Castro,28,Masculino,Rua Athenas 1091,Manaus,AM,Amazonas,69045-020,BR,Brazil,KaueCavalcantiCastro@cuvox.de,7150,0.8,5,0,0,2,24,193,2,7566,64,Ligacao,1
80,Sra.,Vitória,Martins,40,Feminino,Rua Graciliano Ramos 1416,Caxias do Sul,RS,Rio Grande do Sul,95095-535,BR,Brazil,VitoriaSilvaMartins@superrito.com,7391,0.92,9,5,1,5,33,94,0,4652,42,Email,1
81,Sr.,Felipe,Cardoso,61,Masculino,Travessa Milton Cruz 1579,São Leopoldo,RS,Rio Grande do Sul,93042-380,BR,Brazil,FelipeCostaCardoso@dayrep.com,7406,0.07,12,7,0,5,2,1,5,3874,63,Email,0
82,Sr.,Gabriel,Azevedo,31,Masculino,Rua Delfim Moreira 474,Londrina,PR,Paraná,86062-610,BR,Brazil,GabrielFerreiraAzevedo@fleckens.hu,5634,0.33,3,15,0,2,1,2,5,6454,76,Email,
83,Sra.,Mariana,Azevedo,45,Feminino,Travessa Almeida Garret 110,Salvador,BA,Bahia,41815-325,BR,Brazil,MarianaRodriguesAzevedo@dayrep.com,6242,1,14,19,0,4,29,54,0,5082,58,Push,
84,Sr.,Diogo,Pinto,59,Masculino,Passagem São Geraldo 701,Ananindeua,PA,Pará,67145-460,BR,Brazil,DiogoCarvalhoPinto@superrito.com,9029,0.8,7,11,0,5,21,117,2,7894,57,Email,
85,Sra.,Maria,Fernandes,27,Feminino,Rua Doutor José Álvares de Souza Soares Sobrinho 108,Pelotas,RS,Rio Grande do Sul,96040-460,BR,Brazil,MariaAlmeidaFernandes@rhyta.com,5428,0.91,9,8,1,4,50,155,2,4652,50,Email,
86,Sra.,Alice,Ribeiro,29,Feminino,Córrego do Morcego 1210,Recife,PE,Pernambuco,52140-340,BR,Brazil,AliceCostaRibeiro@einrot.com,8557,0.18,8,18,1,3,1,7,5,5158,73,SMS,
87,Sra.,Brenda,Silva,60,Feminino,Quadra SHCES Quadra 0401 Bloco A 55,Cruzeiro,DF,Distrito Federal,70650-411,BR,Brazil,BrendaCavalcantiSilva@cuvox.de,7074,0.27,13,5,0,1,1,1,4,6580,72,Email,
88,Sr.,Martim,Gomes,42,Masculino,Rua A 1915,Itabuna,BA,Bahia,45606-405,BR,Brazil,MartimMeloGomes@rhyta.com,7788,1,15,13,0,4,44,90,2,2016,53,Push,
89,Sra.,Julia,Azevedo,51,Feminino,Rua Filipe Nicoletti 658,São Paulo,SP,São Paulo,03728-240,BR,Brazil,JuliaRochaAzevedo@fleckens.hu,6863,0.87,4,8,1,3,28,183,1,6890,70,SMS,1
90,Sra.,Rebeca,Azevedo,26,Feminino,Rua Cinco 1479,Sumaré,SP,São Paulo,13181-265,BR,Brazil,RebecaCorreiaAzevedo@einrot.com,6179,0.18,7,15,0,0,3,8,4,2158,89,SMS,0
91,Sra.,Laura,Fernandes,54,Feminino,Rua Paolo Periotto 1063,São Carlos,SP,São Paulo,13571-618,BR,Brazil,LauraOliveiraFernandes@jourrapide.com,8115,0.12,14,7,0,0,3,8,5,486,64,Email,0
92,Sr.,Tiago,Ribeiro,45,Masculino,Rua Zaíra 1653,São Paulo,SP,São Paulo,01252-060,BR,Brazil,TiagoOliveiraRibeiro@teleworm.us,3736,0.47,14,9,0,5,2,7,5,9918,57,Push,0
93,Sra.,Larissa,Oliveira,26,Feminino,Rua Fernando 647,São Paulo,SP,São Paulo,04477-480,BR,Brazil,LarissaLimaOliveira@fleckens.hu,9627,0.2,7,14,0,5,1,8,5,9218,36,Push,0
94,Sra.,Vitoria,Barros,57,Feminino,Avenida Doutor Fernando do Couto Malta 975,Maceió,AL,Alagoas,57073-030,BR,Brazil,VitoriaPereiraBarros@cuvox.de,5452,0.42,7,2,0,0,3,7,4,9109,54,Ligacao,0
95,Sra.,Bianca,Melo,33,Feminino,Rua Tocha 221,São Paulo,SP,São Paulo,04823-040,BR,Brazil,BiancaAraujoMelo@einrot.com,5603,0.24,4,4,1,1,1,4,5,4144,56,Push,0
96,Sr.,Kauê,Castro,47,Masculino,Travessa Pernambuco 707,Foz do Iguaçu,PR,Paraná,85852-220,BR,Brazil,KaueRibeiroCastro@rhyta.com,7057,0.06,8,2,1,4,2,6,5,4240,48,Email,0
97,Sr.,Marcos,Martins,27,Masculino,Rua Soldado Clóvis de Castro 314,Rio de Janeiro,RJ,Rio de Janeiro,21842-450,BR,Brazil,MarcosCunhaMartins@superrito.com,6008,0.85,8,17,0,2,16,141,2,3184,43,Push,1
98,Sra.,Sarah,Ribeiro,21,Feminino,Rua Madalena 625,Guarulhos,SP,São Paulo,07113-150,BR,Brazil,SarahCardosoRibeiro@superrito.com,7648,0.84,2,10,0,3,20,71,2,9425,71,Ligacao,1
99,Sr.,Kauê,Gomes,44,Masculino,Rua Alagoas 1331,Andradina,SP,São Paulo,16901-314,BR,Brazil,KaueMartinsGomes@fleckens.hu,3427,0.82,10,5,1,1,15,134,1,7969,59,SMS,1
100,Sr.,Enzo,Gomes,19,Masculino,Rua Arco de Baixo 19,Camaçari,BA,Bahia,42804-700,BR,Brazil,EnzoSouzaGomes@gustr.com,5937,1,1,4,0,2,33,96,2,1328,77,Email,1
101,Sra.,Sophia,Cardoso,35,Feminino,Avenida do Dique Pequeno 1025,Salvador,BA,Bahia,40240-315,BR,Brazil,SophiaFernandesCardoso@fleckens.hu,9073,0.05,8,14,1,3,1,1,4,5472,81,Ligacao,0
102,Sr.,Tiago,Costa,57,Masculino,Rua São Domingos 306,Fortaleza,CE,Ceará,60356-840,BR,Brazil,TiagoFernandesCosta@teleworm.us,8365,0.48,15,7,0,5,1,0,4,9689,67,Ligacao,0
103,Sr.,Samuel,Martins,57,Masculino,Avenida Sorocaba 1477,Barueri,SP,São Paulo,06447-180,BR,Brazil,SamuelPereiraMartins@rhyta.com,4018,0.35,10,14,0,5,3,2,4,2373,44,SMS,0
104,Sra.,Julieta,Castro,51,Feminino,Rua Sebastiana Teixeira de Carvalho 1867,Campinas,SP,São Paulo,13050-192,BR,Brazil,JulietaSilvaCastro@cuvox.de,7445,0.84,2,8,0,1,24,178,2,7413,80,Email,1
105,Sra.,Lara,Araujo,58,Feminino,Rua Dom João A. Santos 21,Goiânia,GO,Goiás,74780-035,BR,Brazil,LaraCavalcantiAraujo@jourrapide.com,9476,0.85,7,0,0,5,15,66,2,3806,79,SMS,1
106,Sr.,Thiago,Rocha,41,Masculino,Travessa São Tarcisio 124,Natal,RN,Rio Grande do Norte,59073-111,BR,Brazil,ThiagoSantosRocha@einrot.com,4310,0.46,10,18,1,0,3,2,4,2477,54,Push,0
107,Sr.,Luís,Dias,65,Masculino,Rua Montes Claros 1470,Ribeirão das Neves,MG,Minas Gerais,33943-390,BR,Brazil,LuisMeloDias@cuvox.de,6424,0.83,5,12,1,0,44,172,0,6342,53,SMS,1
108,Sr.,Lucas,Ferreira,25,Masculino,Rua Projetada I 156,Manaus,AM,Amazonas,69039-730,BR,Brazil,LucasGomesFerreira@jourrapide.com,7891,0.02,9,19,0,5,1,7,5,5232,56,Push,0
109,Sra.,Julieta,Santos,37,Feminino,Rua J 68 1897,Goiânia,GO,Goiás,74674-350,BR,Brazil,JulietaCunhaSantos@fleckens.hu,4842,0.3,2,7,0,4,1,8,4,5009,34,Email,0
110,Sr.,Luís,Cunha,35,Masculino,Parque Urbano Santos 1755,São Luís,MA,Maranhão,65020-610,BR,Brazil,LuisBarrosCunha@jourrapide.com,8728,0.41,13,12,0,4,2,7,4,6609,32,Ligacao,0
111,Sra.,Manuela,Castro,53,Feminino,Rua Santa Cristina 1744,Fortaleza,CE,Ceará,60761-110,BR,Brazil,ManuelaSantosCastro@jourrapide.com,5709,0.27,4,16,0,3,2,7,5,4362,35,Ligacao,0
112,Sr.,Rafael,Martins,42,Masculino,Rua Catarina Staack 195,Brusque,SC,Santa Catarina,88352-480,BR,Brazil,RafaelSilvaMartins@rhyta.com,8550,0.86,4,1,0,2,47,175,1,6293,87,Email,1
113,Sr.,Alex,Barros,58,Masculino,Rua R 17 300,Goiânia,GO,Goiás,74690-420,BR,Brazil,AlexGoncalvesBarros@fleckens.hu,4177,1,7,7,0,0,38,134,0,1523,65,Ligacao,1
114,Sra.,Alice,Rocha,43,Feminino,Rua 3 1923,Aparecida de Goiânia,GO,Goiás,74973-030,BR,Brazil,AliceBarbosaRocha@gustr.com,6403,0.99,14,14,0,3,37,163,1,555,54,Email,1
